Shear stress(Pa),Shear rate(s-¹),Shear viscosity(Pa s),Angular velocity(rad/s),Steady state
88.98,1.225,72.62,0.1062,0.9740
97.94,1.543,63.50,0.1337,0.9818
105.2,1.942,54.20,0.1683,0.9849
110.8,2.444,45.32,0.2119,0.9906
113.7,3.076,36.97,0.2667,0.9968
114.9,3.873,29.66,0.3357,0.9984
116.5,4.875,23.89,0.4226,0.9958
118.9,6.137,19.37,0.5320,0.9947
121.7,7.726,15.75,0.6698,0.9953
124.7,9.726,12.82,0.8431,0.9949
128.2,12.24,10.47,1.061,0.9927
132.2,15.41,8.576,1.336,0.9931
136.7,19.40,7.043,1.682,0.9922
141.9,24.42,5.810,2.117,0.9919
148.0,30.74,4.815,2.665,0.9895
155.5,38.70,4.019,3.355,0.9876
164.5,48.72,3.376,4.223,0.9867
174.7,61.33,2.849,5.317,0.9859
186.2,77.21,2.412,6.693,0.9852
199.3,97.19,2.051,8.425,0.9845
214.2,122.3,1.751,10.61,0.9853
230.7,154.0,1.498,13.35,0.9829
249.4,193.8,1.287,16.80,0.9816
270.6,244.0,1.109,21.15,0.9817
294.9,307.2,0.9598,26.63,0.9802
322.7,386.7,0.8345,33.52,0.9795
354.8,486.8,0.7288,42.20,0.9776
326.9,408.2,0.8008,35.38,1.023
296.8,324.2,0.9155,28.11,1.021
271.1,257.6,1.053,22.33,1.020
248.8,204.6,1.216,17.74,1.018
229.3,162.6,1.410,14.09,1.018
212.3,129.1,1.644,11.19,1.017
197.2,102.6,1.923,8.893,1.016
183.9,81.49,2.257,7.064,1.015
172.3,64.73,2.663,5.611,1.015
162.1,51.42,3.152,4.457,1.013
153.2,40.85,3.750,3.541,1.013
145.3,32.45,4.480,2.813,1.011
138.6,25.77,5.378,2.234,1.010
132.9,20.48,6.489,1.775,1.009
128.0,16.27,7.870,1.410,1.007
124.0,12.92,9.595,1.120,1.007
120.7,10.27,11.76,0.8899,1.005
117.9,8.155,14.46,0.7069,1.004
115.6,6.478,17.84,0.5615,1.003
113.6,5.146,22.07,0.4461,1.004
111.9,4.087,27.38,0.3543,1.003
110.4,3.247,34.00,0.2815,1.003
109.1,2.580,42.29,0.2237,1.003
107.7,2.050,52.57,0.1777,1.004
106.1,1.628,65.16,0.1411,1.004
104.0,1.293,80.39,0.1121,1.005
101.0,1.027,98.30,0.08905,1.008
