,composition,Charpy impact energy,Charpy impact energy-conditions,Charpy impact energy-units,Elongation,Elongation-conditions,Elongation-units,"Fracture toughness, K$_{IC}$","Fracture toughness, K$_{IC}$-conditions","Fracture toughness, K$_{IC}$-units","Ultimate tensile strength, UTS","Ultimate tensile strength, UTS-conditions","Ultimate tensile strength, UTS-units","Yield strength, YS","Yield strength, YS-conditions","Yield strength, YS-units",parse_comp
0,"[{'element': 'C', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Mn', 'actualWeightPercent': {'value': '0.05'}}, {'element': 'Si', 'actualWeightPercent': {'value': '0.09'}}, {'element': 'Cr', 'actualWeightPercent': {'value': '7.65'}}, {'element': 'Ni', 'actualWeightPercent': {'value': '12.2'}}, {'element': 'Mo', 'actualWeightPercent': {'value': '3.05'}}, {'element': 'V', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'N', 'actualWeightPercent': {'value': '0'}}, {'element': 'Nb', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Co', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'W', 'actualWeightPercent': {'value': '0'}}, {'element': 'Al', 'actualWeightPercent': {'value': '0.46'}}, {'element': 'Ti', 'actualWeightPercent': {'value': '0.2'}}]",64.4,"{'name': 'Temperature', 'scalars': [{'value': '816'}], 'units': '$^{\\circ}$C'}",J,15.0,"{'name': 'Temperature', 'scalars': [{'value': '816'}], 'units': '$^{\\circ}$C'}",%,,,,1465.5,"{'name': 'Temperature', 'scalars': [{'value': '816'}], 'units': '$^{\\circ}$C'}",MPa,1414.5,"{'name': 'Temperature', 'scalars': [{'value': '816'}], 'units': '$^{\\circ}$C'}",MPa,"[0.01, 0.05, 0.09, 7.65, 12.2, 3.05, 0.01, 0, 0.01, 0.01, 0, 0.46, 0.2]"
1,"[{'element': 'C', 'actualWeightPercent': {'value': '0.1'}}, {'element': 'Mn', 'actualWeightPercent': {'value': '0.5'}}, {'element': 'Si', 'actualWeightPercent': {'value': '0.3'}}, {'element': 'Cr', 'actualWeightPercent': {'value': '12'}}, {'element': 'Ni', 'actualWeightPercent': {'value': '2'}}, {'element': 'Mo', 'actualWeightPercent': {'value': '0.02'}}, {'element': 'V', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'N', 'actualWeightPercent': {'value': '0'}}, {'element': 'Nb', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Co', 'actualWeightPercent': {'value': '5'}}, {'element': 'W', 'actualWeightPercent': {'value': '6'}}, {'element': 'Al', 'actualWeightPercent': {'value': '0.03'}}, {'element': 'Ti', 'actualWeightPercent': {'value': '0'}}]",10.8,"{'name': 'Temperature', 'scalars': [{'value': '1050'}], 'units': '$^{\\circ}$C'}",J,18.0,"{'name': 'Temperature', 'scalars': [{'value': '1050'}], 'units': '$^{\\circ}$C'}",%,,,,1661.7,"{'name': 'Temperature', 'scalars': [{'value': '1050'}], 'units': '$^{\\circ}$C'}",MPa,1342.9,"{'name': 'Temperature', 'scalars': [{'value': '1050'}], 'units': '$^{\\circ}$C'}",MPa,"[0.1, 0.5, 0.3, 12, 2, 0.02, 0.01, 0, 0.01, 5, 6, 0.03, 0]"
2,"[{'element': 'C', 'actualWeightPercent': {'value': '0.19'}}, {'element': 'Mn', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Si', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Cr', 'actualWeightPercent': {'value': '12.61'}}, {'element': 'Ni', 'actualWeightPercent': {'value': '0.99'}}, {'element': 'Mo', 'actualWeightPercent': {'value': '1.98'}}, {'element': 'V', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'N', 'actualWeightPercent': {'value': '0'}}, {'element': 'Nb', 'actualWeightPercent': {'value': '0.07'}}, {'element': 'Co', 'actualWeightPercent': {'value': '13.79'}}, {'element': 'W', 'actualWeightPercent': {'value': '0'}}, {'element': 'Al', 'actualWeightPercent': {'value': '0.03'}}, {'element': 'Ti', 'actualWeightPercent': {'value': '0'}}]",,,,15.6,"{'name': 'Temperature', 'scalars': [{'value': '1038'}], 'units': '$^{\\circ}$C'}",%,154.3,"{'name': 'Temperature', 'scalars': [{'value': '1038'}], 'units': '$^{\\circ}$C'}",MPa m$^{0.5}$,1730.5,"{'name': 'Temperature', 'scalars': [{'value': '1038'}], 'units': '$^{\\circ}$C'}",MPa,1371.4,"{'name': 'Temperature', 'scalars': [{'value': '1038'}], 'units': '$^{\\circ}$C'}",MPa,"[0.19, 0.01, 0.01, 12.61, 0.99, 1.98, 0.01, 0, 0.07, 13.79, 0, 0.03, 0]"
3,"[{'element': 'C', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Mn', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Si', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Cr', 'actualWeightPercent': {'value': '11.14'}}, {'element': 'Ni', 'actualWeightPercent': {'value': '8.01'}}, {'element': 'Mo', 'actualWeightPercent': {'value': '4.99'}}, {'element': 'V', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'N', 'actualWeightPercent': {'value': '0'}}, {'element': 'Nb', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Co', 'actualWeightPercent': {'value': '8.62'}}, {'element': 'W', 'actualWeightPercent': {'value': '0'}}, {'element': 'Al', 'actualWeightPercent': {'value': '1.22'}}, {'element': 'Ti', 'actualWeightPercent': {'value': '0.01'}}]",,,,10.0,,%,,,,1991.2,,MPa,1887.9,,MPa,"[0.01, 0.01, 0.01, 11.14, 8.01, 4.99, 0.01, 0, 0.01, 8.62, 0, 1.22, 0.01]"
4,"[{'element': 'C', 'actualWeightPercent': {'value': '0.24'}}, {'element': 'Mn', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Si', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Cr', 'actualWeightPercent': {'value': '3.12'}}, {'element': 'Ni', 'actualWeightPercent': {'value': '11.06'}}, {'element': 'Mo', 'actualWeightPercent': {'value': '1.19'}}, {'element': 'V', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'N', 'actualWeightPercent': {'value': '0'}}, {'element': 'Nb', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Co', 'actualWeightPercent': {'value': '13.46'}}, {'element': 'W', 'actualWeightPercent': {'value': '0'}}, {'element': 'Al', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Ti', 'actualWeightPercent': {'value': '0.01'}}]",,,,16.4,"{'name': 'Temperature', 'scalars': [{'value': '885'}], 'units': '$^{\\circ}$C'}",%,129.1,"{'name': 'Temperature', 'scalars': [{'value': '885'}], 'units': '$^{\\circ}$C'}",MPa m$^{0.5}$,2007.1,"{'name': 'Temperature', 'scalars': [{'value': '885'}], 'units': '$^{\\circ}$C'}",MPa,1805.9,"{'name': 'Temperature', 'scalars': [{'value': '885'}], 'units': '$^{\\circ}$C'}",MPa,"[0.24, 0.01, 0.01, 3.12, 11.06, 1.19, 0.01, 0, 0.01, 13.46, 0, 0.01, 0.01]"
5,"[{'element': 'C', 'actualWeightPercent': {'value': '0.04'}}, {'element': 'Mn', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Si', 'actualWeightPercent': {'value': '0.02'}}, {'element': 'Cr', 'actualWeightPercent': {'value': '12.52'}}, {'element': 'Ni', 'actualWeightPercent': {'value': '8.63'}}, {'element': 'Mo', 'actualWeightPercent': {'value': '2.1'}}, {'element': 'V', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'N', 'actualWeightPercent': {'value': '0'}}, {'element': 'Nb', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Co', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'W', 'actualWeightPercent': {'value': '0'}}, {'element': 'Al', 'actualWeightPercent': {'value': '1'}}, {'element': 'Ti', 'actualWeightPercent': {'value': '0'}}]",72.5,"{'name': 'Temperature', 'scalars': [{'value': '996'}], 'units': '$^{\\circ}$C'}",J,14.4,"{'name': 'Temperature', 'scalars': [{'value': '996'}], 'units': '$^{\\circ}$C'}",%,,,,1493.8,"{'name': 'Temperature', 'scalars': [{'value': '996'}], 'units': '$^{\\circ}$C'}",MPa,1367.0,"{'name': 'Temperature', 'scalars': [{'value': '996'}], 'units': '$^{\\circ}$C'}",MPa,"[0.04, 0.01, 0.02, 12.52, 8.63, 2.1, 0.01, 0, 0.01, 0.01, 0, 1, 0]"
6,"[{'element': 'C', 'actualWeightPercent': {'value': '0.16'}}, {'element': 'Mn', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Si', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Cr', 'actualWeightPercent': {'value': '14.36'}}, {'element': 'Ni', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Mo', 'actualWeightPercent': {'value': '3.01'}}, {'element': 'V', 'actualWeightPercent': {'value': '0.97'}}, {'element': 'N', 'actualWeightPercent': {'value': '0.03'}}, {'element': 'Nb', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Co', 'actualWeightPercent': {'value': '13.33'}}, {'element': 'W', 'actualWeightPercent': {'value': '0'}}, {'element': 'Al', 'actualWeightPercent': {'value': '0.05'}}, {'element': 'Ti', 'actualWeightPercent': {'value': '0'}}]",,,,14.0,"{'name': 'Temperature', 'scalars': [{'value': '1093'}], 'units': '$^{\\circ}$C'}",%,,,,1598.5,"{'name': 'Temperature', 'scalars': [{'value': '1093'}], 'units': '$^{\\circ}$C'}",MPa,1240.2,"{'name': 'Temperature', 'scalars': [{'value': '1093'}], 'units': '$^{\\circ}$C'}",MPa,"[0.16, 0.01, 0.01, 14.36, 0.01, 3.01, 0.97, 0.03, 0.01, 13.33, 0, 0.05, 0]"
7,"[{'element': 'C', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Mn', 'actualWeightPercent': {'value': '0.12'}}, {'element': 'Si', 'actualWeightPercent': {'value': '0.08'}}, {'element': 'Cr', 'actualWeightPercent': {'value': '9.8'}}, {'element': 'Ni', 'actualWeightPercent': {'value': '10'}}, {'element': 'Mo', 'actualWeightPercent': {'value': '1.7'}}, {'element': 'V', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'N', 'actualWeightPercent': {'value': '0'}}, {'element': 'Nb', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Co', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'W', 'actualWeightPercent': {'value': '0'}}, {'element': 'Al', 'actualWeightPercent': {'value': '0.2'}}, {'element': 'Ti', 'actualWeightPercent': {'value': '0.19'}}]",113.2,"{'name': 'Temperature', 'scalars': [{'value': '760'}], 'units': '$^{\\circ}$C'}",J,15.0,"{'name': 'Temperature', 'scalars': [{'value': '760'}], 'units': '$^{\\circ}$C'}",%,,,,1156.1,"{'name': 'Temperature', 'scalars': [{'value': '760'}], 'units': '$^{\\circ}$C'}",MPa,1150.6,"{'name': 'Temperature', 'scalars': [{'value': '760'}], 'units': '$^{\\circ}$C'}",MPa,"[0.01, 0.12, 0.08, 9.8, 10, 1.7, 0.01, 0, 0.01, 0.01, 0, 0.2, 0.19]"
8,"[{'element': 'C', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Mn', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Si', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Cr', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Ni', 'actualWeightPercent': {'value': '14.8'}}, {'element': 'Mo', 'actualWeightPercent': {'value': '2.5'}}, {'element': 'V', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'N', 'actualWeightPercent': {'value': '0'}}, {'element': 'Nb', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Co', 'actualWeightPercent': {'value': '15'}}, {'element': 'W', 'actualWeightPercent': {'value': '0'}}, {'element': 'Al', 'actualWeightPercent': {'value': '0.03'}}, {'element': 'Ti', 'actualWeightPercent': {'value': '1.8'}}]",3.4,"{'name': 'Temperature', 'scalars': [{'value': '815'}], 'units': '$^{\\circ}$C'}",J,8.0,"{'name': 'Temperature', 'scalars': [{'value': '815'}], 'units': '$^{\\circ}$C'}",%,28.2,"{'name': 'Temperature', 'scalars': [{'value': '815'}], 'units': '$^{\\circ}$C'}",MPa m$^{0.5}$,2068.4,"{'name': 'Temperature', 'scalars': [{'value': '815'}], 'units': '$^{\\circ}$C'}",MPa,1999.5,"{'name': 'Temperature', 'scalars': [{'value': '815'}], 'units': '$^{\\circ}$C'}",MPa,"[0.01, 0.01, 0.01, 0.01, 14.8, 2.5, 0.01, 0, 0.01, 15, 0, 0.03, 1.8]"
9,"[{'element': 'C', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Mn', 'actualWeightPercent': {'value': '0.07'}}, {'element': 'Si', 'actualWeightPercent': {'value': '0.11'}}, {'element': 'Cr', 'actualWeightPercent': {'value': '11.3'}}, {'element': 'Ni', 'actualWeightPercent': {'value': '10.3'}}, {'element': 'Mo', 'actualWeightPercent': {'value': '2.05'}}, {'element': 'V', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'N', 'actualWeightPercent': {'value': '0'}}, {'element': 'Nb', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'Co', 'actualWeightPercent': {'value': '0.01'}}, {'element': 'W', 'actualWeightPercent': {'value': '0'}}, {'element': 'Al', 'actualWeightPercent': {'value': '0.24'}}, {'element': 'Ti', 'actualWeightPercent': {'value': '0.23'}}]",79.3,"{'name': 'Temperature', 'scalars': [{'value': '816'}], 'units': '$^{\\circ}$C'}",J,15.0,"{'name': 'Temperature', 'scalars': [{'value': '816'}], 'units': '$^{\\circ}$C'}",%,,,,1228.5,"{'name': 'Temperature', 'scalars': [{'value': '816'}], 'units': '$^{\\circ}$C'}",MPa,1207.1,"{'name': 'Temperature', 'scalars': [{'value': '816'}], 'units': '$^{\\circ}$C'}",MPa,"[0.01, 0.07, 0.11, 11.3, 10.3, 2.05, 0.01, 0, 0.01, 0.01, 0, 0.24, 0.23]"
