Shear stress(Pa),Shear rate(s-¹),Shear viscosity(Pa s),Angular velocity(rad/s),Steady state
407.6,1.230,331.3,0.1066,1.025
405.6,1.542,263.0,0.1337,0.9982
399.5,1.941,205.8,0.1683,1.001
396.1,2.444,162.1,0.2119,1.009
399.1,3.076,129.7,0.2666,0.9907
408.3,3.872,105.4,0.3357,0.9901
423.1,4.876,86.78,0.4227,0.9902
440.7,6.138,71.80,0.5320,0.9888
461.6,7.726,59.75,0.6697,0.9927
485.4,9.725,49.91,0.8430,0.9897
511.1,12.24,41.75,1.061,0.9883
535.1,15.41,34.72,1.336,0.9881
557.0,19.40,28.71,1.682,0.9890
584.9,24.42,23.95,2.117,0.9901
612.0,30.74,19.91,2.664,0.9896
637.2,38.69,16.47,3.354,0.9914
658.5,48.71,13.52,4.223,0.9919
686.9,61.32,11.20,5.316,0.9887
714.9,77.20,9.261,6.692,0.9914
743.3,97.18,7.648,8.424,0.9911
775.0,122.3,6.335,10.60,0.9898
807.8,154.0,5.245,13.35,0.9893
831.6,193.8,4.291,16.80,0.9958
851.1,244.0,3.488,21.15,0.9913
869.3,307.1,2.830,26.63,1.029
911.3,386.6,2.357,33.52,0.9792
948.3,486.8,1.948,42.20,0.9940
891.7,408.2,2.184,35.39,1.012
848.1,324.3,2.615,28.11,1.010
810.3,257.6,3.146,22.33,1.009
794.0,204.6,3.880,17.74,0.9842
754.2,162.6,4.639,14.09,1.008
732.3,129.2,5.670,11.20,1.006
710.7,102.6,6.927,8.894,1.007
693.9,81.50,8.514,7.065,1.008
673.9,64.74,10.41,5.612,1.003
665.9,51.43,12.95,4.458,1.009
647.8,40.85,15.86,3.542,1.009
627.2,32.45,19.33,2.813,1.005
609.4,25.78,23.64,2.235,1.012
591.8,20.48,28.89,1.776,1.013
569.0,16.27,34.97,1.410,1.017
547.7,12.93,42.37,1.120,1.020
522.5,10.27,50.90,0.8899,1.005
506.7,8.155,62.14,0.7069,0.9951
488.0,6.477,75.35,0.5615,1.008
475.4,5.146,92.38,0.4461,1.014
472.6,4.091,115.5,0.3546,1.001
448.7,3.246,138.3,0.2814,0.9938
434.3,2.580,168.3,0.2237,1.002
429.0,2.049,209.3,0.1777,1.002
418.2,1.628,256.9,0.1411,1.004
409.7,1.293,316.8,0.1121,1.004
405.9,1.028,395.0,0.08908,1.000
