Shear stress(Pa),Shear rate(s-¹),Shear viscosity(Pa s),Angular velocity(rad/s),Steady state
477.2,1.240,384.9,0.1075,1.001
447.8,1.542,290.5,0.1336,1.015
425.2,1.943,218.9,0.1684,1.017
406.8,2.443,166.5,0.2118,1.005
429.3,3.075,139.6,0.2666,0.9907
412.9,3.872,106.6,0.3357,1.005
422.3,4.878,86.57,0.4229,0.9560
407.2,6.134,66.39,0.5317,1.020
406.1,7.721,52.60,0.6694,1.019
424.9,9.727,43.68,0.8432,1.030
434.5,12.23,35.52,1.060,0.9220
446.3,15.41,28.96,1.336,0.9936
458.0,19.40,23.62,1.681,0.9585
483.8,24.42,19.82,2.116,1.017
507.5,30.73,16.51,2.664,0.9538
520.6,38.71,13.45,3.355,0.9699
534.8,48.70,10.98,4.222,0.9819
561.4,61.31,9.156,5.315,0.9811
597.9,77.20,7.745,6.692,0.9777
630.6,97.18,6.488,8.425,0.9840
658.2,122.3,5.381,10.60,0.9980
692.5,154.0,4.497,13.35,0.9952
702.7,193.8,3.625,16.80,1.028
732.6,244.0,3.002,21.15,1.026
763.8,307.1,2.487,26.63,0.9867
835.2,386.7,2.160,33.52,1.002
811.7,486.8,1.668,42.20,1.034
673.1,408.2,1.649,35.39,1.035
619.6,324.3,1.911,28.11,1.050
540.2,257.5,2.098,22.33,0.8951
486.8,204.6,2.379,17.74,1.019
478.6,162.6,2.943,14.10,1.012
453.3,129.1,3.510,11.19,1.021
420.0,102.6,4.095,8.892,0.9738
415.6,81.49,5.100,7.064,0.9900
405.0,64.74,6.256,5.612,1.035
389.3,51.42,7.570,4.458,0.9778
373.0,40.86,9.128,3.542,0.9863
357.7,32.45,11.02,2.813,1.004
343.1,25.78,13.31,2.235,0.9973
334.2,20.49,16.32,1.776,0.9978
319.2,16.28,19.61,1.411,1.032
312.5,12.92,24.18,1.120,0.9651
293.3,10.27,28.57,0.8900,1.035
297.2,8.155,36.45,0.7069,1.001
274.2,6.475,42.35,0.5613,1.047
284.0,5.148,55.17,0.4463,0.9985
271.2,4.087,66.35,0.3543,0.9997
257.3,3.249,79.20,0.2816,1.011
252.1,2.581,97.69,0.2237,0.9957
270.1,2.051,131.7,0.1778,0.9825
269.3,1.628,165.4,0.1411,1.012
256.8,1.293,198.6,0.1121,1.016
243.9,1.028,237.3,0.08909,1.007
